arg-id,x,y,probability,cluster-id
A61_0,7.42564,1.4027103,1.0,2
A61_1,4.145288,2.8606215,1.0,3
A61_2,8.477762,1.4503925,1.0,2
A63_0,8.19502,1.9878722,1.0,4
A63_1,8.152483,1.91995,1.0,2
A63_2,8.243947,1.8755938,1.0,2
A63_3,11.022541,3.350678,1.0,15
A64_0,11.027797,3.3872585,1.0,15
A64_1,10.985611,3.3119962,1.0,15
A64_2,7.7874722,0.91021734,0.8831635131252971,2
A65_0,8.02496,0.9975505,1.0,2
A65_1,8.330662,0.9756733,1.0,2
A72_0,9.150345,2.569282,1.0,4
A72_1,8.534128,0.20981425,1.0,23
A73_0,8.165743,0.87887865,1.0,2
A73_1,8.352785,0.22401287,1.0,23
A73_2,9.197965,1.4933269,1.0,23
A73_3,8.552743,0.24064574,1.0,23
A78_0,8.532019,0.8176657,1.0,2
A80_0,8.07763,0.5532874,1.0,2
A80_1,9.477373,1.718717,1.0,4
A80_2,8.427275,0.90206724,1.0,2
A81_0,8.424396,0.8762656,1.0,2
A81_1,8.99293,1.3856195,1.0,4
A82_0,8.52313,0.991966,1.0,2
A83_0,8.617541,1.1082048,1.0,2
A85_0,7.9351797,3.5319893,1.0,8
A85_1,9.302256,2.367375,1.0,4
A85_2,8.932208,2.0390892,1.0,4
A85_3,7.309761,0.41381407,0.9954995814667524,17
A85_4,8.90773,1.8124174,1.0,4
A85_5,9.125209,2.026948,1.0,4
A87_0,9.237496,2.0344784,1.0,4
A87_1,7.447797,1.2652733,1.0,2
A89_0,7.9344597,3.8038843,1.0,8
A89_1,8.320925,0.95054,1.0,2
A89_2,8.307628,0.7602578,1.0,2
A89_3,8.272037,1.8942952,1.0,4
A89_4,8.38526,1.65516,1.0,2
A91_0,9.452821,2.57265,1.0,4
A91_1,9.663805,1.7279342,1.0,4
A91_2,9.014724,1.9913557,1.0,4
A91_3,9.524044,1.7344357,1.0,4
A91_4,9.381419,1.6502522,1.0,4
A92_0,7.473591,2.4169261,1.0,2
A92_1,7.643961,2.3197477,1.0,2
A96_0,3.992818,1.536787,1.0,18
A98_0,8.912585,1.0801612,1.0,23
A98_1,7.055466,1.5542293,1.0,2
A98_2,11.025561,5.882929,101.0,9
A102_0,3.5564196,2.9188635,1.0,3
A102_1,7.107152,1.5483507,1.0,2
A102_2,4.1703043,2.5872803,1.0,18
A102_3,7.9937744,0.43351433,1.0,2
A102_4,6.423253,2.395896,1.0,5
A108_0,6.218697,2.3947785,1.0,5
A108_1,8.644851,2.0887735,1.0,4
A109_0,5.3009253,1.050325,1.0,20
A109_1,8.428225,3.9394908,1.0,8
A109_2,7.870649,4.334143,1.0,8
A109_3,8.877576,6.201827,101.0,28
A109_4,11.319362,4.6026,1.0,16
A109_5,9.488553,6.639553,1.0,28
A109_6,5.968485,-0.03975095,101.0,27
A110_0,11.236417,3.0051603,0.9352897490008624,15
A110_1,11.254668,2.9751291,1.0,15
A110_2,6.7577434,1.4155916,1.0,5
A110_3,9.214962,1.7366161,1.0,4
A110_4,2.628008,3.9431787,0.8898561152174351,12
A111_0,7.089085,1.7620074,1.0,2
A111_1,7.8234644,3.4220283,1.0,29
A111_2,8.126533,0.8899965,1.0,2
A111_3,5.4811993,1.5068071,1.0,5
A111_4,4.0694327,1.3833385,1.0,18
A111_5,3.9334419,1.4132478,1.0,18
A111_6,4.3794794,2.6880407,1.0,18
A111_7,4.483665,1.0552129,0.7679300674231625,18
A111_8,5.4032393,1.4205215,1.0,5
A111_9,4.0041423,1.4158784,1.0,18
A112_0,3.7408018,2.627839,1.0,3
A112_1,9.298538,1.5317658,1.0,23
A112_2,9.547944,1.5614877,1.0,23
A112_3,9.313371,1.492995,1.0,23
A112_4,4.4143834,2.5888424,1.0,18
A113_0,9.655209,1.4986279,1.0,23
A115_0,8.208395,0.8450401,1.0,2
A115_1,8.395612,0.3306089,1.0,23
A116_0,8.518513,0.202468,1.0,23
A116_1,8.53382,0.22997431,1.0,23
A116_2,8.519477,0.2068932,1.0,23
A116_3,8.549328,0.16005059,1.0,23
A116_4,8.095403,0.8979073,1.0,2
A117_0,8.517936,0.42601493,1.0,23
A117_1,8.143046,0.7527681,1.0,2
A117_2,8.119349,0.5691026,1.0,2
A118_0,8.51417,0.9630294,1.0,2
A118_1,8.761711,1.301893,1.0,2
A119_0,8.855635,1.2783839,1.0,23
A119_1,7.4976377,1.4208279,1.0,2
A119_2,4.207606,2.880352,1.0,3
A119_3,8.529972,1.2561543,1.0,2
A120_0,8.419438,1.6655933,1.0,2
A120_1,8.411542,1.3020965,1.0,2
A120_2,9.297708,0.69973344,1.0,23
A120_3,8.615223,1.4962224,1.0,2
A120_4,9.637893,2.4508848,1.0,4
A121_0,7.6924496,3.748898,1.0,8
A121_1,7.4829793,3.85945,1.0,8
A121_2,8.235466,0.5377842,1.0,2
A121_3,4.295967,2.6159449,1.0,18
A121_4,8.861435,1.2421674,1.0,23
A122_0,7.639459,3.2700047,1.0,29
